"code","eggs","gluten","milk","nuts","peanut","soy"
4104420006065,1.0,2.0,0.0,0.0,0.0,1.0
4104420006065,1.0,2.0,0.0,0.0,0.0,1.0
4104420007963,0.0,1.0,2.0,2.0,0.0,1.0
4104420007963,0.0,1.0,2.0,2.0,1.0,0.0
4104420007963,0.0,0.0,0.0,2.0,0.0,0.0
4104420007987,2.0,2.0,1.0,2.0,0.0,1.0
4104420007987,2.0,2.0,1.0,2.0,0.0,1.0
4104420010628,0.0,2.0,0.0,2.0,2.0,0.0
4104420010628,0.0,1.0,0.0,1.0,1.0,0.0
4104420010628,0.0,0.0,0.0,0.0,0.0,0.0
4104420014701,0.0,2.0,1.0,0.0,0.0,2.0
4104420014701,0.0,2.0,1.0,0.0,0.0,2.0
4104420014701,0.0,2.0,1.0,0.0,0.0,2.0
4104420014701,0.0,2.0,1.0,0.0,0.0,2.0
4104420015289,0.0,0.0,0.0,2.0,2.0,0.0
4104420015289,0.0,0.0,0.0,1.0,1.0,0.0
4104420015289,0.0,0.0,0.0,1.0,1.0,0.0
4104420016149,0.0,2.0,0.0,0.0,0.0,1.0
4104420016149,0.0,2.0,0.0,0.0,0.0,0.0
4104420016149,0.0,2.0,0.0,0.0,0.0,1.0
4104420016545,0.0,2.0,0.0,0.0,0.0,1.0
4104420016545,0.0,2.0,0.0,0.0,0.0,0.0
4104420016545,0.0,0.0,0.0,0.0,0.0,1.0
4104420016545,0.0,2.0,0.0,0.0,0.0,1.0
4104420016781,0.0,2.0,1.0,1.0,1.0,1.0
4104420016781,0.0,2.0,1.0,1.0,1.0,1.0
4104420016781,0.0,0.0,1.0,1.0,1.0,1.0
4104420016781,0.0,0.0,1.0,1.0,1.0,1.0
4104420018907,0.0,2.0,2.0,0.0,0.0,1.0
4104420018907,0.0,2.0,2.0,1.0,1.0,1.0
4104420018907,0.0,2.0,2.0,1.0,1.0,1.0
4104420018907,0.0,2.0,2.0,1.0,0.0,1.0
4104420020443,1.0,2.0,1.0,0.0,0.0,1.0
4104420020443,1.0,2.0,1.0,0.0,0.0,1.0
4104420020443,1.0,2.0,1.0,0.0,0.0,1.0
4104420020443,0.0,2.0,0.0,0.0,0.0,0.0
4104420020443,1.0,2.0,1.0,0.0,0.0,1.0
4104420020504,0.0,0.0,0.0,0.0,0.0,0.0
4104420020504,0.0,0.0,0.0,0.0,0.0,0.0
4104420020504,0.0,0.0,0.0,0.0,0.0,0.0
4104420020504,0.0,0.0,0.0,0.0,0.0,0.0
4104420021327,0.0,0.0,0.0,0.0,0.0,0.0
4104420021327,0.0,0.0,0.0,0.0,0.0,0.0
4104420021327,0.0,0.0,0.0,0.0,0.0,0.0
4104420021785,0.0,0.0,0.0,0.0,0.0,0.0
4104420021785,0.0,0.0,0.0,0.0,0.0,0.0
4104420021785,0.0,0.0,0.0,0.0,0.0,0.0
4104420021785,0.0,0.0,0.0,0.0,0.0,0.0
4104420022287,0.0,2.0,0.0,0.0,0.0,1.0
4104420022287,0.0,2.0,0.0,0.0,0.0,1.0
4104420022683,0.0,2.0,0.0,2.0,2.0,2.0
4104420022683,0.0,1.0,1.0,1.0,1.0,0.0
4104420022683,0.0,1.0,0.0,1.0,0.0,1.0
4104420022683,0.0,1.0,0.0,1.0,1.0,1.0
4104420022683,0.0,1.0,0.0,1.0,1.0,1.0
4104420024960,0.0,0.0,0.0,2.0,1.0,0.0
4104420024960,0.0,0.0,0.0,2.0,1.0,0.0
4104420024960,0.0,0.0,0.0,2.0,1.0,0.0
4104420024960,0.0,0.0,0.0,2.0,1.0,0.0
4104420024960,0.0,0.0,0.0,2.0,1.0,0.0
4104420025066,0.0,0.0,0.0,2.0,1.0,0.0
4104420025066,0.0,0.0,0.0,2.0,1.0,0.0
4104420025066,0.0,0.0,0.0,1.0,2.0,0.0
4104420025547,0.0,0.0,0.0,2.0,1.0,0.0
4104420025721,0.0,0.0,0.0,1.0,2.0,0.0
4104420025929,0.0,0.0,0.0,0.0,0.0,0.0
4104420025929,0.0,0.0,0.0,0.0,0.0,0.0
4104420025929,0.0,0.0,0.0,0.0,0.0,0.0
4104420025929,0.0,0.0,0.0,0.0,0.0,0.0
4104420026704,0.0,0.0,0.0,2.0,1.0,0.0
4104420026704,0.0,0.0,0.0,2.0,1.0,0.0
4104420028289,0.0,0.0,0.0,0.0,0.0,0.0
4104420028289,0.0,0.0,0.0,0.0,0.0,0.0
4104420028289,0.0,0.0,0.0,0.0,0.0,0.0
4104420028326,0.0,0.0,0.0,0.0,0.0,0.0
4104420028364,0.0,0.0,0.0,0.0,0.0,0.0
4104420028364,0.0,0.0,0.0,0.0,0.0,0.0
4104420028364,0.0,0.0,0.0,0.0,0.0,0.0
4104420028487,0.0,0.0,0.0,0.0,0.0,0.0
4104420028487,0.0,0.0,0.0,0.0,0.0,0.0
4104420028487,0.0,0.0,0.0,0.0,0.0,0.0
4104420028708,0.0,0.0,2.0,0.0,0.0,0.0
4104420028708,0.0,0.0,1.0,0.0,0.0,0.0
4104420028708,0.0,0.0,0.0,0.0,0.0,0.0
4104420028708,0.0,0.0,0.0,0.0,0.0,0.0
4104420029569,0.0,0.0,0.0,0.0,0.0,0.0
4104420029569,0.0,1.0,0.0,1.0,0.0,1.0
4104420029569,0.0,0.0,0.0,1.0,0.0,0.0
4104420029569,0.0,0.0,0.0,0.0,0.0,0.0
4104420030220,0.0,0.0,0.0,0.0,0.0,0.0
4104420030220,0.0,0.0,0.0,0.0,0.0,0.0
4104420030220,0.0,0.0,0.0,0.0,0.0,0.0
4104420030282,0.0,0.0,0.0,0.0,0.0,0.0
4104420030282,0.0,0.0,0.0,0.0,0.0,0.0
4104420031647,0.0,0.0,0.0,0.0,0.0,0.0
4104420031647,0.0,0.0,0.0,0.0,0.0,0.0
4104420031647,0.0,0.0,0.0,0.0,0.0,0.0
4104420031647,0.0,0.0,0.0,0.0,0.0,0.0
4104420031708,0.0,0.0,0.0,0.0,0.0,0.0
4104420031708,0.0,0.0,0.0,0.0,0.0,0.0
4104420031708,0.0,0.0,0.0,0.0,0.0,0.0
4104420037281,0.0,0.0,0.0,0.0,0.0,0.0
4104420037281,0.0,0.0,0.0,0.0,0.0,0.0
4104420037281,0.0,0.0,0.0,0.0,0.0,0.0
4104420037427,0.0,0.0,0.0,0.0,0.0,0.0
4104420037427,0.0,0.0,0.0,0.0,0.0,0.0
4104420037427,0.0,0.0,0.0,0.0,0.0,0.0
4104420037427,0.0,0.0,0.0,0.0,0.0,0.0
4104420037526,0.0,0.0,0.0,2.0,0.0,0.0
4104420037526,0.0,0.0,0.0,2.0,0.0,0.0
4104420037526,0.0,0.0,0.0,2.0,0.0,0.0
4104420037526,0.0,0.0,0.0,2.0,0.0,0.0
4104420038103,0.0,0.0,0.0,0.0,0.0,0.0
4104420038103,0.0,0.0,0.0,0.0,0.0,0.0
4104420038103,0.0,0.0,0.0,0.0,0.0,0.0
4104420045286,0.0,0.0,0.0,0.0,0.0,0.0
4104420053083,1.0,2.0,1.0,1.0,0.0,2.0
4104420053083,1.0,2.0,1.0,1.0,0.0,2.0
4104420053083,1.0,0.0,1.0,1.0,0.0,0.0
4104420053489,0.0,0.0,2.0,1.0,0.0,1.0
4104420053489,0.0,0.0,2.0,1.0,0.0,1.0
4104420053489,0.0,0.0,2.0,1.0,0.0,1.0
4104420053489,0.0,0.0,0.0,0.0,0.0,0.0
4104420053786,2.0,2.0,2.0,2.0,0.0,1.0
4104420053786,2.0,2.0,2.0,2.0,0.0,1.0
4104420053786,0.0,2.0,2.0,1.0,0.0,1.0
4104420053786,2.0,2.0,2.0,1.0,0.0,1.0
4104420053786,2.0,2.0,2.0,1.0,1.0,1.0
4104420053922,1.0,2.0,2.0,1.0,0.0,1.0
4104420053922,1.0,2.0,2.0,1.0,0.0,1.0
4104420053922,1.0,2.0,2.0,1.0,0.0,1.0
4104420053922,1.0,0.0,2.0,1.0,0.0,1.0
4104420053922,1.0,2.0,2.0,1.0,0.0,1.0
4104420054363,0.0,0.0,2.0,1.0,0.0,1.0
4104420054363,0.0,0.0,2.0,1.0,0.0,1.0
4104420054363,0.0,0.0,2.0,1.0,0.0,1.0
4104420054363,0.0,0.0,0.0,0.0,0.0,0.0
4104420054363,0.0,0.0,2.0,1.0,0.0,1.0
4104420055209,1.0,2.0,1.0,2.0,0.0,2.0
4104420055209,1.0,2.0,1.0,2.0,0.0,2.0
4104420055209,0.0,0.0,0.0,2.0,0.0,0.0
4104420055209,1.0,2.0,1.0,2.0,0.0,0.0
4104420055360,1.0,2.0,1.0,1.0,0.0,0.0
4104420055360,1.0,2.0,1.0,1.0,0.0,0.0
4104420055360,1.0,2.0,1.0,1.0,0.0,0.0
4104420055360,1.0,0.0,1.0,1.0,0.0,0.0
4104420056121,0.0,2.0,1.0,1.0,0.0,1.0
4104420056121,0.0,2.0,1.0,1.0,0.0,1.0
4104420056121,0.0,2.0,1.0,1.0,0.0,1.0
4104420056244,0.0,2.0,0.0,0.0,0.0,0.0
4104420056244,0.0,2.0,0.0,0.0,0.0,0.0
4104420056244,0.0,2.0,0.0,0.0,0.0,0.0
4104420056343,0.0,2.0,0.0,0.0,0.0,0.0
4104420056343,0.0,2.0,0.0,0.0,0.0,0.0
4104420056343,0.0,2.0,0.0,0.0,0.0,0.0
4104420056343,0.0,0.0,0.0,0.0,0.0,0.0
4104420056343,0.0,2.0,0.0,0.0,0.0,0.0
4104420057487,0.0,0.0,2.0,0.0,0.0,2.0
4104420057487,0.0,0.0,1.0,0.0,0.0,1.0
4104420057487,0.0,0.0,1.0,0.0,0.0,1.0
4104420060180,0.0,0.0,0.0,0.0,0.0,0.0
4104420060180,0.0,0.0,0.0,0.0,0.0,0.0
4104420060180,0.0,0.0,0.0,0.0,0.0,0.0
4104420073548,0.0,0.0,2.0,0.0,0.0,0.0
4104420073548,0.0,0.0,2.0,0.0,0.0,0.0
4104420073548,0.0,0.0,0.0,0.0,0.0,0.0
4104420074903,0.0,0.0,2.0,0.0,0.0,0.0
4104420074903,0.0,0.0,2.0,0.0,0.0,0.0
4104420074903,0.0,0.0,2.0,0.0,0.0,0.0
4104420076907,0.0,0.0,2.0,0.0,0.0,0.0
4104420076907,0.0,0.0,2.0,0.0,0.0,0.0
4104420076907,0.0,0.0,0.0,0.0,0.0,0.0
4104420080423,0.0,0.0,0.0,0.0,0.0,0.0
4104420080423,0.0,0.0,0.0,0.0,0.0,0.0
4104420080423,0.0,0.0,0.0,0.0,0.0,0.0
4104420134607,1.0,2.0,1.0,1.0,0.0,1.0
4104420134607,0.0,0.0,0.0,0.0,0.0,0.0
4104420134607,1.0,2.0,1.0,1.0,1.0,1.0
4104420136564,0.0,2.0,1.0,0.0,0.0,1.0
4104420136564,0.0,0.0,1.0,1.0,0.0,1.0
4104420136564,0.0,2.0,1.0,1.0,0.0,1.0
4104420136564,0.0,0.0,1.0,1.0,0.0,1.0
4104420137547,0.0,0.0,2.0,0.0,0.0,0.0
4104420137547,0.0,0.0,2.0,0.0,0.0,0.0
4104420137905,0.0,2.0,1.0,1.0,0.0,1.0
4104420137905,0.0,0.0,1.0,1.0,0.0,1.0
4104420137905,0.0,2.0,1.0,1.0,1.0,1.0
4104420138681,0.0,2.0,0.0,0.0,0.0,0.0
4104420138681,0.0,2.0,0.0,0.0,0.0,0.0
4104420138681,0.0,0.0,0.0,0.0,0.0,0.0
4104420138681,0.0,2.0,0.0,0.0,0.0,0.0
4104420140660,0.0,2.0,1.0,1.0,0.0,1.0
4104420140660,0.0,2.0,0.0,0.0,0.0,0.0
4104420142640,0.0,0.0,0.0,0.0,0.0,0.0
4104420142640,0.0,0.0,0.0,0.0,0.0,0.0
4104420142787,0.0,2.0,0.0,2.0,2.0,2.0
4104420142787,0.0,1.0,0.0,1.0,1.0,1.0
4104420142787,0.0,1.0,0.0,1.0,1.0,1.0
4104420144149,0.0,2.0,2.0,2.0,0.0,2.0
4104420144149,0.0,1.0,1.0,1.0,0.0,1.0
4104420144149,0.0,1.0,1.0,1.0,0.0,1.0
4104420145122,0.0,0.0,0.0,0.0,0.0,0.0
4104420145122,0.0,0.0,0.0,0.0,0.0,0.0
4104420145900,0.0,0.0,0.0,0.0,0.0,0.0
4104420145900,0.0,0.0,0.0,0.0,0.0,0.0
4104420145900,0.0,0.0,0.0,0.0,0.0,0.0
4104420145962,1.0,2.0,1.0,1.0,0.0,1.0
4104420145962,1.0,2.0,1.0,1.0,0.0,1.0
4104420145962,1.0,0.0,1.0,1.0,0.0,1.0
4104420146860,0.0,0.0,0.0,0.0,0.0,0.0
4104420146860,0.0,0.0,0.0,0.0,0.0,0.0
4104420146860,0.0,0.0,0.0,0.0,0.0,0.0
4104420146860,0.0,0.0,0.0,0.0,0.0,0.0
4104420173279,0.0,0.0,0.0,0.0,0.0,0.0
4104420173279,0.0,0.0,0.0,0.0,0.0,0.0
4104420173279,0.0,0.0,0.0,0.0,0.0,0.0
4104420173514,0.0,0.0,0.0,0.0,0.0,0.0
